"Page url","Page url"
Add,Add
"Allowed file types: jpg, jpeg, gif, png, Maximum file size : %1M","Allowed file types: jpg, jpeg, gif, png, Maximum file size : %1M"
"All Pages","All Pages"
"Show On Pages","Show On Pages"
"Hide On Pages","Hide On Pages"
Text,Text
Image,Image
Icon,Icon
Upload,Upload
URL,URL
Sample,Sample
"Right Bottom Corner","Right Bottom Corner"
"Left Bottom Corner","Left Bottom Corner"
"Right Top Corner","Right Top Corner"
"Left Top Corner","Left Top Corner"
"Scroll To Top","Scroll To Top"
"Scroll To top","Scroll To top"
Display,Display
"Enable Module","Enable Module"
"Display On Frontend Pages","Display On Frontend Pages"
"Display On Backend Pages","Display On Backend Pages"
Backend,Backend
Frontend,Frontend
"Custom CSS","Custom CSS"
Design,Design
"Display Type","Display Type"
"Background Color","Background Color"
"Background Color On Hover","Background Color On Hover"
"Resize Button","Resize Button"
"Custom Text","Custom Text"
"Text On Button","Text On Button"
"Text Size","Text Size"
"Text Color","Text Color"
"Text Color On Hover","Text Color On Hover"
"Custom Image","Custom Image"
"Select Type","Select Type"
"Banner Image","Banner Image"
"Image URL","Image URL"
"Image ALT","Image ALT"
"Custom Icon","Custom Icon"
"Icon Color","Icon Color"
"Icon Color On Hover","Icon Color On Hover"
Position,Position
"Button Position","Button Position"
"Margin X","Margin X"
"Margin Y","Margin Y"
